frequency,raw
5473.75,6.76
5528.49,6.53
5583.77,6.31
5639.61,6.26
5696.00,6.22
5752.96,6.18
5810.49,6.27
5868.60,6.39
5927.28,6.51
5986.56,6.62
6046.42,6.71
6106.89,6.80
6167.96,6.86
6229.64,6.74
6291.93,6.62
6354.85,6.46
6418.40,6.12
6482.58,5.78
6547.41,5.42
6612.88,5.06
6679.01,4.74
6745.80,4.43
6813.26,4.32
6881.39,4.23
6950.21,4.14
7019.71,4.16
7089.91,4.26
7160.81,4.36
7232.41,4.50
7304.74,4.83
7377.79,5.19
7451.56,5.71
7526.08,6.25
7601.34,6.80
7677.35,7.37
7754.13,7.93
7831.67,8.44
7909.98,8.77
7989.08,8.97
8068.98,9.17
8149.67,8.99
8231.16,8.81
8313.47,8.31
8396.61,7.62
8480.57,6.85
8565.38,6.13
8651.03,5.50
8737.54,4.97
8824.92,4.48
8913.17,3.98
9002.30,3.56
9092.32,3.20
9183.25,2.97
9275.08,2.77
9367.83,2.57
9461.51,2.34
9556.12,2.11
9651.68,1.87
9748.20,1.53
9845.68,1.15
9944.14,0.76
10043.58,0.36
10144.02,-0.15
10245.46,-0.75
10347.91,-1.46
10451.39,-2.13
10555.91,-2.63
10661.46,-3.18
10768.08,-3.63
10875.76,-3.90
10984.52,-3.99
11094.36,-3.93
11205.31,-3.86
11317.36,-3.77
11430.53,-3.60
11544.84,-3.44
11660.29,-3.28
11776.89,-3.17
11894.66,-3.07
12013.60,-2.97
12133.74,-2.84
12255.08,-2.68
12377.63,-2.53
12501.41,-2.35
12626.42,-2.05
12752.68,-1.75
12880.21,-1.42
13009.01,-1.09
13139.10,-0.95
13270.49,-0.85
13403.20,-0.76
13537.23,-0.78
13672.60,-0.93
13809.33,-1.09
13947.42,-1.39
14086.90,-1.88
14227.77,-2.34
14370.04,-2.88
14513.74,-3.45
14658.88,-4.04
14805.47,-4.67
14953.52,-5.24
15103.06,-5.83
15254.09,-6.46
15406.63,-7.05
15560.70,-7.56
15716.30,-8.02
15873.47,-8.47
16032.20,-8.93
16192.52,-9.29
16354.45,-9.63
16517.99,-9.83
16683.17,-10.02
16850.01,-9.83
17018.51,-9.61
17188.69,-9.02
17360.58,-8.12
17534.18,-7.29
17709.53,-6.49
17886.62,-5.76
18065.49,-5.06
18246.14,-4.36
18428.60,-3.61
18612.89,-2.90
18799.02,-2.32
18987.01,-1.98
19176.88,-2.11
19368.65,-2.45
19562.33,-3.06
19757.96,-3.67
19955.54,-4.27
