frequency,raw
174.957275,-3.335
175.293732,-3.33
175.630188,-3.325
175.966644,-3.32
176.303101,-3.317
176.639557,-3.314
176.976013,-3.311
177.312469,-3.306
177.648926,-3.3
177.985382,-3.292
178.321838,-3.285
178.658295,-3.278
178.994751,-3.274
179.331207,-3.27
179.667664,-3.266
180.00412,-3.261
180.340576,-3.255
180.677032,-3.246
181.013489,-3.237
181.349945,-3.227
181.686401,-3.219
182.022858,-3.211
182.359314,-3.203
182.69577,-3.196
183.032227,-3.187
183.368683,-3.177
183.705139,-3.167
184.041595,-3.156
184.378052,-3.146
184.714508,-3.135
185.050964,-3.124
185.387421,-3.113
185.723877,-3.101
186.060333,-3.088
186.39679,-3.075
186.733246,-3.062
187.069702,-3.05
187.406158,-3.04
187.742615,-3.029
188.079071,-3.017
188.415527,-3.005
188.751984,-2.993
189.08844,-2.98
189.424896,-2.969
189.761353,-2.958
190.097809,-2.948
190.434265,-2.938
190.770721,-2.928
191.107178,-2.917
191.443634,-2.907
191.78009,-2.897
192.116547,-2.888
192.453003,-2.879
192.789459,-2.872
193.125916,-2.864
193.462372,-2.857
193.798828,-2.849
194.135284,-2.842
194.471741,-2.834
194.808197,-2.828
195.144653,-2.821
195.48111,-2.815
195.817566,-2.808
196.154022,-2.8
196.490479,-2.792
196.826935,-2.784
197.163391,-2.777
197.499847,-2.771
197.836304,-2.766
198.17276,-2.76
198.509216,-2.754
198.845673,-2.747
199.182129,-2.739
199.518585,-2.731
199.855042,-2.724
200.191498,-2.719
200.527954,-2.713
200.86441,-2.709
201.200867,-2.704
201.537323,-2.699
201.873779,-2.693
202.210236,-2.687
202.546692,-2.682
202.883148,-2.675
203.219604,-2.669
203.556061,-2.663
203.892517,-2.658
204.228973,-2.652
204.56543,-2.647
204.901886,-2.64
205.238342,-2.634
205.574799,-2.626
205.911255,-2.62
206.247711,-2.614
206.584167,-2.609
206.920624,-2.604
207.25708,-2.599
207.593536,-2.595
207.929993,-2.589
208.266449,-2.584
208.602905,-2.58
208.939362,-2.577
209.275818,-2.574
209.612274,-2.572
209.94873,-2.57
210.285187,-2.569
210.621643,-2.568
210.958099,-2.567
211.294556,-2.566
211.631012,-2.565
211.967468,-2.564
212.303925,-2.562
212.640381,-2.559
212.976837,-2.557
213.313293,-2.555
213.64975,-2.554
213.986206,-2.554
214.322662,-2.555
214.659119,-2.556
214.995575,-2.556
215.332031,-2.556
215.668488,-2.555
216.004944,-2.554
216.3414,-2.553
216.677856,-2.552
217.014313,-2.551
217.350769,-2.551
217.687225,-2.549
218.023682,-2.546
218.360138,-2.541
218.696594,-2.534
219.033051,-2.527
219.369507,-2.521
219.705963,-2.517
220.042419,-2.513
220.378876,-2.509
220.715332,-2.504
221.051788,-2.499
221.388245,-2.493
221.724701,-2.488
222.061157,-2.483
222.397614,-2.48
222.73407,-2.476
223.070526,-2.472
223.406982,-2.468
223.743439,-2.464
224.079895,-2.461
224.416351,-2.458
224.752808,-2.456
225.089264,-2.452
225.42572,-2.447
225.762177,-2.441
226.098633,-2.435
226.435089,-2.43
226.771545,-2.426
227.108002,-2.424
227.444458,-2.423
227.780914,-2.421
228.117371,-2.418
228.453827,-2.413
228.790283,-2.409
229.12674,-2.404
229.463196,-2.401
229.799652,-2.398
230.136108,-2.397
230.472565,-2.396
230.809021,-2.395
231.145477,-2.395
