frequency,raw
7601.34,6.29
7677.35,6.68
7754.13,7.05
7831.67,7.27
7909.98,7.50
7989.08,7.72
8068.98,7.86
8149.67,7.70
8231.16,7.54
8313.47,7.37
8396.61,6.84
8480.57,6.10
8565.38,5.16
8651.03,4.23
8737.54,3.01
8824.92,1.75
8913.17,0.62
9002.30,-0.41
9092.32,-2.18
9183.25,-3.07
9275.08,-3.56
9367.83,-3.97
9461.51,-4.80
9556.12,-4.23
9651.68,-3.66
9748.20,-0.75
9845.68,0.50
9944.14,1.69
10043.58,2.62
10144.02,3.33
10245.46,3.58
10347.91,3.67
10451.39,3.75
10555.91,3.83
10661.46,3.54
10768.08,3.11
10875.76,2.63
10984.52,1.96
11094.36,1.11
11205.31,0.33
11317.36,-0.33
11430.53,-0.83
11544.84,-1.24
11660.29,-1.65
11776.89,-1.82
11894.66,-1.87
12013.60,-1.91
12133.74,-1.96
12255.08,-2.00
12377.63,-2.07
12501.41,-2.19
12626.42,-2.30
12752.68,-2.42
12880.21,-2.53
13009.01,-2.74
13139.10,-3.04
13270.49,-3.33
13403.20,-3.72
13537.23,-4.34
13672.60,-5.17
13809.33,-6.21
13947.42,-7.03
14086.90,-8.46
14227.77,-9.58
14370.04,-10.15
14513.74,-10.72
14658.88,-10.91
14805.47,-11.07
14953.52,-10.64
15103.06,-9.92
15254.09,-8.91
15406.63,-8.09
15560.70,-7.29
15716.30,-6.34
15873.47,-5.69
16032.20,-4.67
16192.52,-4.28
16354.45,-4.01
16517.99,-3.74
16683.17,-3.86
16850.01,-4.00
17018.51,-4.13
17188.69,-5.42
17360.58,-6.57
17534.18,-8.24
17709.53,-9.41
17886.62,-11.29
18065.49,-12.75
18246.14,-13.80
18428.60,-15.38
18612.89,-16.17
18799.02,-16.47
18987.01,-16.77
19176.88,-16.90
19368.65,-16.83
19562.33,-16.76
19757.96,-16.68
19955.54,-16.61
